Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Hijaz,1312122,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2060",Y,1,None
Souzinak,2131212,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2061",Y,1,None
Hijazkiar,1312131,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2062",Y,1,None
Rast,2212221,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2063",Y,1,None
Houzam,3112131,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2064",Y,1,None
Ousak,1222122,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2065",Y,1,None
Niaventi,2131131,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2066",Y,1,None
Kiordi,2122122,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2067",Y,1,None
Tsinganikos,1311312,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2068",Y,1,None
Periaiotikos,3121221,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2069",Y,1,None
Sabach,2113122,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2070",Y,1,None
Segiah,3112122,Greek Folk,Western,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2071",Y,1,None
Pentatonic 1,22323,Western Classical,Western,12-tet;Just;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2072",Y,1,None
Pentatonic 2,23223,Western Classical,Western,12-tet;Just;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2073",Y,1,None
Pentatonic 3,23232,Western Classical,Western,12-tet;Just;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2074",Y,1,None
Pentatonic 4,32232,Western Classical,Western,12-tet;Just;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2075",Y,1,None
Pentatonic 5,32322,Western Classical,Western,12-tet;Just;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2076",Y,1,None
Minor Blues,321132,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2077",Y,1,None
Major Blues,211323,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2078",Y,1,None
Bebop Dominant,22122111,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2079",Y,1,None
Bebop Major,22121121,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2080",Y,1,None
Bebop Minor,21221211,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2081",Y,1,None
Bebop Melodic Minor,21221121,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2082",Y,1,None
Bebop Dorian,21112212,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2083",Y,1,None
Jazz Minor,2122221,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2084",Y,1,None
Jazz Harmonic Minor,2122131,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2085",Y,1,None
Augmented,222222,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2086",Y,1,None
Diminished,12121212,Jazz,Western,12-tet,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2087",Y,1,None
Ryo,22323,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2088",Y,1,None
Ritsu,23223,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2089",Y,1,None
Minyo,32232,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2090",Y,1,None
Hirajoshi,21414,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2091",Y,1,None
Kumoi Joshi,14214,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2092",Y,1,None
Iwato,14142,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2093",Y,1,None
