Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Maqam Ajam Ushayran,4424442,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2033",Y,2,None
Maqam Shawq Afza,4424262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2034",Y,2,None
Maqam Shawq Awr A,4442442,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2035",Y,2,None
Maqam Shawq Awr D,4424424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2036",Y,2,None
Maqam Iraq A,3433443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2037",Y,2,None
Maqam Iraq D,34334421,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2038",Y,2,None
Maqam Awj Ara,3615261,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2039",Y,2,None
Maqam Rahat Al-arwah A,3426243,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2040",Y,2,None
Maqam Rahat Al-arwah D,34262421,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2041",Y,2,None
Maqam Farahnak A,3443343,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2042",Y,2,None
Maqam Farahnak D,34433421,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2043",Y,2,None
Maqam Rast A,4334433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2044",Y,2,None
Maqam Rast D,4334424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2045",Y,2,None
Maqam Suznak A,4334352,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2046",Y,2,None
Maqam Suznak D,4334424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2047",Y,2,None
Maqam Nayruz,4334334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2048",Y,2,None
Maqam Nahawand A,4244262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2049",Y,2,None
Maqam Nahawand D,4244244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2050",Y,2,None
Maqam Nahawand Murassa A,4242624,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2051",Y,2,None
Maqam Nahawand Murassa D,4242462,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2052",Y,2,None
Maqam Nahawand Kabir A,4244262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2053",Y,2,None
Maqam Nahawand Kabir D,4244424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2054",Y,2,None
Maqam Nawa'athar A,4262262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2055",Y,2,None
Maqam Nawa'athar D,4244424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2056",Y,2,None
Maqam Nakriz A,4262424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2057",Y,2,None
Maqam Nakriz D,4262433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2058",Y,2,None
Maqam Zankulah,2624424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2059",Y,2,None
Maqam Hijaz Kar Kurd A,2624262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2060",Y,2,None
Maqam Hijaz Kar Kurd D,2444244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2061",Y,2,None
Maqam Athar Kurd,2462262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2062",Y,2,None
Maqam Hijaz Kar A,2624262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2063",Y,2,None
Maqam Hijaz Kar D,2624244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2064",Y,2,None
Maqam Suzdilara 1 A,4424424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2065",Y,2,None
Maqam Suzdilara 1 D,4334424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2066",Y,2,None
Maqam Suzdilara 2 A,4424433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2067",Y,2,None
Maqam Suzdilara 2 D,4334424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2068",Y,2,None
Maqam Basandida A,4262424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2069",Y,2,None
Maqam Basandida D,4334433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2070",Y,2,None
Maqam Tarz Nawayn,2442624,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2071",Y,2,None
Maqam Mahur A,4334442,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2072",Y,2,None
Maqam Mahur D,4334424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2073",Y,2,None
Maqam Bayati A,3344334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2074",Y,2,None
Maqam Bayati D,3344244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2075",Y,2,None
Maqam Bayati Shuri A,3342624,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2076",Y,2,None
Maqam Bayati Shuri D,3344244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2077",Y,2,None
Maqam Bayatayn,3343524,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2078",Y,2,None
Maqam Husayni A,3344334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2079",Y,2,None
Maqam Husayni D,3344244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2080",Y,2,None
Maqam Hijaz A,2624334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2081",Y,2,None
Maqam Hijaz D,2624244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2082",Y,2,None
Maqam Hijaz Gharib,3434334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2083",Y,2,None
Maqam Saba A,3326244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2084",Y,2,None
Maqam Saba D,33262422,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2085",Y,2,None
Maqam Saba Zamzama,2426244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2086",Y,2,None
Maqam Saba Busalik A,42262431,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2087",Y,2,None
Maqam Saba Busalik D,4226244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2088",Y,2,None
Maqam Sabr Jadid,3326262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2089",Y,2,None
Maqam Kurd,2444244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2090",Y,2,None
Maqam Ushaq Masri A,4244334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2091",Y,2,None
Maqam Ushaq Masri D,4244244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2092",Y,2,None
Maqam Hisar 1,4262262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2093",Y,2,None
Maqam Hisar 2,3362262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2094",Y,2,None
Maqam Shahnaz,2624262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2095",Y,2,None
Maqam Nishaburk A,4334334,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2096",Y,2,None
Maqam Nishaburk D,4334244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2097",Y,2,None
Maqam Lami,2442444,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2098",Y,2,None
Maqam Sikah A,3443343,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2099",Y,2,None
Maqam Sikah D,3442443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2100",Y,2,None
Maqam Huzam,3426243,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2101",Y,2,None
Maqam Musta'ar A,5242443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2102",Y,2,None
Maqam Musta'ar D,3442443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2103",Y,2,None
Maqam Mayyah,3442443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2104",Y,2,None
Maqam Jaharkah,4424433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2105",Y,2,None
Maqam Sikah Baladi A,2624262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2106",Y,2,None
Maqam Sikah Baladi D,3434343,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2107",Y,2,None
Maqam Awj A,3433443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2108",Y,2,None
Maqam Awj D,3424443,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2109",Y,2,None
Dastgah-e Shur,2233133,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2110",Y,2,None
Naghmeh Abu Ata,2331332,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2111",Y,2,None
Naghmeh Bayat-e Tork,3313322,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2112",Y,2,None
Dastgah-e Mahur,3313331,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2113",Y,2,None
Dastgah-e Mahur Delkash,3313232,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2114",Y,2,None
Dastgah-e Homayun,2413133,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2115",Y,2,None
Bayat-e Esfahan,3133241,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2116",Y,2,None
Nagmeh Esfahan,32232221,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2117",Y,2,None
Dastgah-e Sehgah 1,2322332,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2118",Y,2,None
Dastgah-e Sehgah 2,3223223,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2119",Y,2,None
Dastgah-e Chahargah,2413241,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2120",Y,2,None
Dastgah-e Nava,3133223,Persian,Middle East,Dastgah-ha,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2121",Y,2,None
Cargah Makam,TTBTTTB,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2122",Y,2,None
Buselik Makam 1,TBTTBAS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2123",Y,2,None
Buselik Makam 2,TBTTBTT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2124",Y,2,None
Buselik Makam 3,TBTSAST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2125",Y,2,None
Rast Makam A,TKSTTKS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2126",Y,2,None
Rast Makam D,TKSTTBT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2127",Y,2,None
Ussak Makam,KSTTBTT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2128",Y,2,None
Hicaz Makam 1,SASTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2129",Y,2,None
Hicaz Makam 2,SASTBTT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2130",Y,2,None
Humayun Makam 1,SASTBTT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2131",Y,2,None
Humayun Makam 2,SASTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2132",Y,2,None
Uzzal Makam 1,SASTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2133",Y,2,None
Uzzal Makam 2,SASTSAS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2134",Y,2,None
Zirguleli Makam,SASTSAS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2135",Y,2,None
Neva Makam,KSTTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2136",Y,2,None
Huseyni Makam,KSTTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2137",Y,2,None
Karcigar Makam,KSTSAST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2138",Y,2,None
Basit Suz-nak Makam,TKSTSAS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2139",Y,2,None
Kurdi Makam,BTTTBTT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2140",Y,2,None
Bayati Makam,KSTTBTT,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2141",Y,2,None
Muhayyer Makam,KSTTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2142",Y,2,None
Tahir Makam,KSTTKST,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2143",Y,2,None
Sehnaz Buselik Makam,TBTTBAS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2144",Y,2,None
Irak Makam,STKSTTK,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2145",Y,2,None
Nikriz Makam,TSASTKS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2146",Y,2,None
Nev'eser Makam,TSASSAS,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2147",Y,2,None
Huzzam Makam,STSASAB,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2149",Y,2,None
Segah Makam,STKTSAB,Turkish,Middle East,Turkish,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2150",Y,2,None
Bac,24223,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2153",Y,2,None
Ho Mai Nhi,16114,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2154",Y,2,None
Xuan Ho,21523,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2155",Y,2,None
Thien,33232,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2156",Y,2,None
Ai,34123,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2157",Y,2,None
Sa Mac,4441,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2158",Y,2,None
Ai-oan A,16123,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2159",Y,2,None
Ai-oan D,43141,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2160",Y,2,None
Vong co A,16123,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2161",Y,2,None
Vong co D,52141,Vietnam,South East Asia,Vietnamese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2162",Y,2,None
Youlan,112111212,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2163",Y,2,None
In,3112311,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2164",Y,2,None
Honchoshi,142122,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2165",Y,2,None
Plagal Honchoshi,1221312,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2166",Y,2,None
Gagaku Ritsu,23223,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2167",Y,2,None
Hexatonic Ritsu,122322,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2168",Y,2,None
Banshikicho,2122212,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2169",Y,2,None
Ichikotsucho 1,22111221,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2170",Y,2,None
Ichikotsucho 2,221112111,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2171",Y,2,None
Hira-choshi,21414,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2172",Y,2,None
Yona-nukji Major,22323,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2173",Y,2,None
Iwato-choshi,122142,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2174",Y,2,None
Akikaze-choshi,21423,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2175",Y,2,None
Kokin-joshi,14232,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2176",Y,2,None
Miyako-bushi Onkai,1132113,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2177",Y,2,None
Han Kumoi-joshi,23214,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2178",Y,2,None
Akebono 1,21423,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2179",Y,2,None
Akebono 2,14214,Japanese,East Asia,12-tet;Pythagorean,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2180",Y,2,None
Biyu,3432,China,East Asia,Chinese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2181",Y,2,None
Jiao,23322,China,East Asia,Chinese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2182",Y,2,None
Jin,33222,China,East Asia,Chinese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2183",Y,2,None
Huowu,232221,China,East Asia,Chinese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2184",Y,2,None
Pyeongjo,23232,Korea,East Asia,Chinese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2185",Y,2,None
Kyemyeonjo,32322,Korea,East Asia,Chinese,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2186",Y,2,None
Gong,22323,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Shang,23232,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Jue,32322,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Zhi,23223,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Yu,32232,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Yayue,2221221,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Qingyue,2212221,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Yanyue,2212212,China,East Asia,12-tet;Chinese,10.2307/834047,Y,18,None
Shanxi,221232,China,East Asia,Chinese,10.2307/834047,Y,18,None
Shanxi bangzi,2212212,China,East Asia,Chinese,10.2307/834047,Y,18,None
Xinhua,4323,China,East Asia,Chinese,10.2307/834047,Y,18,None
Guizhou,232212,China,East Asia,Chinese,10.2307/834047,Y,18,None
Bai,221241,China,East Asia,Chinese,10.2307/834047,Y,18,None
Yunnan,32412,China,East Asia,Chinese,10.2307/834047,Y,18,None
Mawam Yakah Bayati A,9;7;6;9;6;7;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2013",Y,2,None
Maqam Yakah Nahawand A,9;4;9;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2015",Y,2,None
Maqam Farahfaza A,9;4;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2018",Y,2,None
Maqam Shat Arban 1 A,5;13;4;9;7;6;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2020",Y,2,None
Maqam Shat Arban 1 D,5;13;4;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2021",Y,2,None
Maqam Husayni Ushayran A,6;7;9;6;7;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2024",Y,2,None
Maqam Husayni Ushayran D,6;7;9;4;14;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2025",Y,2,None
Maqam Bayati Ushayran A,6;7;9;6;7;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2026",Y,2,None
Maqam Bayati Ushayran D,6;7;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2027",Y,2,None
Maqam Shawq Tarab A,4;9;9;6;7;4;14,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2028",Y,2,None
Maqam Shawq Tarab D,9;9;9;4;9;9;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2029",Y,2,None
Maqam Suzdal,4;14;4;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2032",Y,2,None
Maqam Ajam Ushayran,9;9;4;9;9;9;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2033",Y,2,None
Maqam Shawq Afza,9;9;6;7;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2034",Y,2,None
Maqam Iraq A,6;9;6;7;9;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2037",Y,2,None
Maqam Awj Ara,6;14;2;11;4;14;2,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2039",Y,2,None
Maqam Rahat Al-arwah A,7;9;7;7;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2040",Y,2,None
Maqam Rahat Al-arwah D,7;9;7;7;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2041",Y,2,None
Maqam Farahnak A,6;9;9;7;6;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2042",Y,2,None
Maqam Rast A,9;7;6;9;9;7;6,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2044",Y,2,None
Maqam Rast D,9;7;6;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2045",Y,2,None
Maqam Suznak A,9;7;6;9;5;13;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2046",Y,2,None
Maqam Suznak D,9;4;9;9;6;7;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2047",Y,2,None
