Name,Culture,Continent,Country,Theory,Reference,scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,int_0,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8
Major-minor,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2034",200,400,500,700,800,1000,1200,,,200,200,100,200,100,200,200,,
Neapolitan Major,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2035",100,400,500,700,900,1100,1200,,,100,300,100,200,200,200,100,,
Neapolitan Mixolydian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2036",100,400,500,700,900,1000,1200,,,100,300,100,200,200,100,200,,
Mixolydian sharp second,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2038",300,400,500,700,900,1000,1200,,,300,100,100,200,200,100,200,,
Ukrainian Dorian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2039",200,300,600,700,900,1000,1200,,,200,100,300,100,200,100,200,,
Neapolitan Dorian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2040",100,300,500,700,900,1000,1200,,,100,200,200,200,200,100,200,,
Hungarian Minor 1,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2041",200,300,600,700,800,1000,1200,,,200,100,300,100,100,200,200,,
Hungarian Minor 2,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2042",200,300,600,700,800,1100,1200,,,200,100,300,100,100,300,100,,
Spanish Phrygian 7 tone,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2043",100,400,500,700,800,1000,1200,,,100,300,100,200,100,200,200,,
Spanish Phrygian 8 tone,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2044",100,300,400,500,700,800,1000,1200,,100,200,100,100,200,100,200,200,
