Name,Culture,Continent,Country,Theory,Reference,scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,int_0,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8
Bhairav,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2114",112,386,498,702,814,1088,1200,,,112,275,112,204,112,275,112,,
Marwa,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2115",100,400,600,700,900,1100,1200,,,100,300,200,100,200,200,100,,
Marwa,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2115",112,386,590,702,884,1088,1200,,,112,275,204,112,182,204,112,,
Mela Kanakangi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2116",112,204,498,702,814,884,1200,,,112,92,294,204,112,71,316,,
Mela Ratnangi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2117",112,204,498,702,814,1018,1200,,,112,92,294,204,112,204,182,,
Mela Ganamurti,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2118",112,204,498,702,814,1088,1200,,,112,92,294,204,112,275,112,,
Mela Vanaspati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2119",112,204,498,702,884,1018,1200,,,112,92,294,204,182,133,182,,
Mela Manavati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2120",112,204,498,702,884,1088,1200,,,112,92,294,204,182,204,112,,
Mela Tanarupi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2121",112,204,498,702,1018,1088,1200,,,112,92,294,204,316,71,112,,
Mela Senavati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2122",112,316,498,702,814,884,1200,,,112,204,182,204,112,71,316,,
Mela Hanumatodi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2123",112,316,498,702,814,1018,1200,,,112,204,182,204,112,204,182,,
Mela Dhenuka,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2124",112,316,498,702,814,1088,1200,,,112,204,182,204,112,275,112,,
Mela Natakapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2125",112,316,498,702,884,1018,1200,,,112,204,182,204,182,133,182,,
Mela Kokilapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2126",112,316,498,702,884,1088,1200,,,112,204,182,204,182,204,112,,
Mela Gayakapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2128",112,386,498,702,814,884,1200,,,112,275,112,204,112,71,316,,
Mela Vakulabharanam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2129",112,386,498,702,814,1018,1200,,,112,275,112,204,112,204,182,,
Mela Mayamalavagowla,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2130",112,386,498,702,814,1088,1200,,,112,275,112,204,112,275,112,,
Mela Chakravakam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2131",112,386,498,702,884,1018,1200,,,112,275,112,204,182,133,182,,
Mela Suryakantam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2132",112,386,498,702,884,1088,1200,,,112,275,112,204,182,204,112,,
Mela Hatakambari,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2133",112,386,498,702,1018,1088,1200,,,112,275,112,204,316,71,112,,
Mela Jhankaradhwani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2134",204,316,498,702,814,884,1200,,,204,112,182,204,112,71,316,,
Mela Natabhairavi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2135",204,316,498,702,814,1018,1200,,,204,112,182,204,112,204,182,,
Mela Keeravani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2136",204,316,498,702,814,1088,1200,,,204,112,182,204,112,275,112,,
Mela Kharaharapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2137",204,316,498,702,884,1018,1200,,,204,112,182,204,182,133,182,,
Mela Gourimanohari,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2138",204,316,498,702,884,1088,1200,,,204,112,182,204,182,204,112,,
Mela Varunapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2139",204,316,498,702,1018,1088,1200,,,204,112,182,204,316,71,112,,
Mela Mararanjani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2140",204,386,498,702,814,884,1200,,,204,182,112,204,112,71,316,,
Mela Charukesi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2141",204,386,498,702,814,1018,1200,,,204,182,112,204,112,204,182,,
Mela Sarasangi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2142",204,386,498,702,814,1088,1200,,,204,182,112,204,112,275,112,,
Mela Harikambhoji,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2143",204,386,498,702,884,1018,1200,,,204,182,112,204,182,133,182,,
Mela Dheerasankarabharanam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2144",204,386,498,702,884,1088,1200,,,204,182,112,204,182,204,112,,
Mela Naganandini,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2145",204,386,498,702,1018,1088,1200,,,204,182,112,204,316,71,112,,
Mela Yagapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2146",316,386,498,702,814,884,1200,,,316,71,112,204,112,71,316,,
Mela Ragavardhini,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2147",316,386,498,702,814,1018,1200,,,316,71,112,204,112,204,182,,
Mela Gangeyabhushani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2148",316,386,498,702,814,1088,1200,,,316,71,112,204,112,275,112,,
Mela Vagadheeswari,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2149",316,386,498,702,884,1018,1200,,,316,71,112,204,182,133,182,,
Mela Shulini,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2150",316,386,498,702,884,1088,1200,,,316,71,112,204,182,204,112,,
Mela Chalanata,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2151",316,386,498,702,1018,1088,1200,,,316,71,112,204,316,71,112,,
Mela Salagam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2152",112,204,590,702,814,884,1200,,,112,92,386,112,112,71,316,,
Mela Jalarnavam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2153",112,204,590,702,814,1018,1200,,,112,92,386,112,112,204,182,,
Mela Jhalavarali,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2154",112,204,590,702,814,1088,1200,,,112,92,386,112,112,275,112,,
Mela Navaneetam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2155",112,204,590,702,884,1018,1200,,,112,92,386,112,182,133,182,,
Mela Pavani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2156",112,204,590,702,884,1088,1200,,,112,92,386,112,182,204,112,,
Mela Raghupriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2157",112,204,590,702,1018,1088,1200,,,112,92,386,112,316,71,112,,
Mela Gavambhodi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2158",112,316,590,702,814,884,1200,,,112,204,275,112,112,71,316,,
Mela Bhavapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2159",112,316,590,702,814,1018,1200,,,112,204,275,112,112,204,182,,
Mela Shubhapantuvarali,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2160",112,316,590,702,814,1088,1200,,,112,204,275,112,112,275,112,,
Mela Shadvidamargini,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2161",112,316,590,702,884,1018,1200,,,112,204,275,112,182,133,182,,
Mela Suvarnangi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2162",112,316,590,702,884,1088,1200,,,112,204,275,112,182,204,112,,
Mela Divyamani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2163",112,316,590,702,1018,1088,1200,,,112,204,275,112,316,71,112,,
Mela Dhavalambari,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2164",112,386,590,702,814,884,1200,,,112,275,204,112,112,71,316,,
Mela Namanarayani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2165",112,386,590,702,814,1018,1200,,,112,275,204,112,112,204,182,,
Mela Kamavardani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2166",112,386,590,702,814,1088,1200,,,112,275,204,112,112,275,112,,
Mela Ramapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2167",112,386,590,702,884,1018,1200,,,112,275,204,112,182,133,182,,
Mela Gamanashrama,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2168",112,386,590,702,884,1088,1200,,,112,275,204,112,182,204,112,,
Mela Vishwambari,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2169",112,386,590,702,1018,1088,1200,,,112,275,204,112,316,71,112,,
Mela Shamalangi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2170",204,316,590,702,814,884,1200,,,204,112,275,112,112,71,316,,
Mela Shanmukhapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2171",204,316,590,702,814,1018,1200,,,204,112,275,112,112,204,182,,
Mela Simhendramadhyamam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2172",204,316,590,702,814,1088,1200,,,204,112,275,112,112,275,112,,
Mela Hemavati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2173",204,316,590,702,884,1018,1200,,,204,112,275,112,182,133,182,,
Mela Dharmavati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2174",204,316,590,702,884,1088,1200,,,204,112,275,112,182,204,112,,
Mela Neetimati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2175",204,316,590,702,1018,1088,1200,,,204,112,275,112,316,71,112,,
Mela Kantamani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2176",204,386,590,702,814,884,1200,,,204,182,204,112,112,71,316,,
Mela Rishabhapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2177",204,386,590,702,814,1018,1200,,,204,182,204,112,112,204,182,,
Mela Latangi,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2178",204,386,590,702,814,1088,1200,,,204,182,204,112,112,275,112,,
Mela Vachaspati,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2179",204,386,590,702,884,1018,1200,,,204,182,204,112,182,133,182,,
Mela Mechakalyani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2180",204,386,590,702,884,1088,1200,,,204,182,204,112,182,204,112,,
Mela Chitrambari,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2181",204,386,590,702,1018,1088,1200,,,204,182,204,112,316,71,112,,
Mela Sucharitra,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2182",316,386,590,702,814,884,1200,,,316,71,204,112,112,71,316,,
Mela Jyoti Swarupini,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2183",316,386,590,702,814,1018,1200,,,316,71,204,112,112,204,182,,
Mela Dhatuvardani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2184",316,386,590,702,814,1088,1200,,,316,71,204,112,112,275,112,,
Mela Nasikabhushani,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2185",316,386,590,702,884,1018,1200,,,316,71,204,112,182,133,182,,
Mela Kosalam,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2186",316,386,590,702,884,1088,1200,,,316,71,204,112,182,204,112,,
Mela Rasikapriya,Carnatic,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2187",316,386,590,702,1018,1088,1200,,,316,71,204,112,316,71,112,,
Adonai Malakh,Jewish,Middle East,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2188",100,200,300,500,700,900,1000,1200,,100,100,100,200,200,200,100,200,
Adonai Malakh,Jewish,Middle East,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2188",112,204,316,498,702,884,1018,1200,,112,92,112,182,204,182,133,182,
Magen Abot 1,Jewish,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2008",100,300,400,600,800,1000,1100,1200,,100,200,100,200,200,200,100,100,
Magen Abot 1,Jewish,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2008",112,316,386,590,814,1018,1088,1200,,112,204,71,204,224,204,71,112,
Magen Abot 2,Jewish,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2009",100,300,400,600,800,900,1100,1200,,100,200,100,200,200,100,200,100,
Magen Abot 2,Jewish,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2009",112,316,386,590,814,884,1088,1200,,112,204,71,204,224,71,204,112,
Ahava Rabba,Jewish,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2010",100,300,400,500,600,800,1000,1200,,100,200,100,100,100,200,200,200,
Ahava Rabba,Jewish,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2010",112,316,386,498,590,814,1018,1200,,112,204,71,112,92,224,204,182,
Nine-note blues,Jazz,Western,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2011",200,300,400,500,600,700,900,1000,1200,200,100,100,100,100,100,200,100,200
Mawam Yakah Bayati A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2013",200,350,500,700,900,1050,1200,,,200,150,150,200,200,150,150,,
Mawam Yakah Bayati A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2013",204,362,498,702,838,996,1200,,,204,158,136,204,136,158,204,,
Mawam Yakah Bayati D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2014",200,350,500,700,800,950,1150,,,200,150,150,200,100,150,200,,
Maqam Yakah Nahawand A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2015",204,294,498,702,792,1109,1200,,,204,91,204,204,91,317,91,,
Maqam Yakah Nahawand D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2016",200,350,500,700,900,1000,1200,,,200,150,150,200,200,100,200,,
Maqam Sultani Yakah,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2017",200,300,500,700,800,1100,1200,,,200,100,200,200,100,300,100,,
Maqam Farahfaza A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2018",200,300,500,700,800,1000,1200,,,200,100,200,200,100,200,200,,
Maqam Farahfaza A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2018",204,294,498,702,792,996,1200,,,204,91,204,204,91,204,204,,
Maqam Shat Arban 1 A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2020",100,400,500,700,800,1100,1200,,,100,300,100,200,100,300,100,,
Maqam Shat Arban 1 A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2020",113,408,498,702,860,996,1200,,,113,294,91,204,158,136,204,,
Maqam Shat Arban 1 D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2021",100,400,500,700,800,1000,1200,,,100,300,100,200,100,200,200,,
Maqam Shat Arban 1 D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2021",113,408,498,702,792,996,1200,,,113,294,91,204,91,204,204,,
Maqam Shat Arban 2 A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2022",150,400,500,700,800,1100,1200,,,150,250,100,200,100,300,100,,
Maqam Shat Arban 2 D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2023",150,400,500,700,800,1000,1200,,,150,250,100,200,100,200,200,,
Maqam Husayni Ushayran A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2024",150,300,500,650,800,1000,1200,,,150,150,200,150,150,200,200,,
Maqam Husayni Ushayran A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2024",136,294,498,634,792,996,1200,,,136,158,204,136,158,204,204,,
Maqam Husayni Ushayran D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2025",150,300,500,600,900,1000,1200,,,150,150,200,100,300,100,200,,
Maqam Husayni Ushayran D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2025",136,294,498,589,906,996,1200,,,136,158,204,91,317,91,204,,
Maqam Bayati Ushayran D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2027",150,300,500,700,800,1000,1200,,,150,150,200,200,100,200,200,,
Maqam Bayati Ushayran D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2027",136,294,498,702,792,996,1200,,,136,158,204,204,91,204,204,,
Maqam Shawq Tarab A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2028",100,300,500,650,800,900,1200,,,100,200,200,150,150,100,300,,
Maqam Shawq Tarab A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2028",91,294,498,634,792,883,1200,,,91,204,204,136,158,91,317,,
Maqam Shawq Tarab D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2029",100,300,500,600,800,1000,1200,,,100,200,200,100,200,200,200,,
Maqam Shawq Tarab D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2029",204,408,611,702,906,1109,1200,,,204,204,204,91,204,204,91,,
Maqam Nahaft A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2030",150,300,500,700,900,1000,1200,,,150,150,200,200,200,100,200,,
Maqam Suzdal,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2032",91,408,498,702,792,1109,1200,,,91,317,91,204,91,317,91,,
Maqam Ajam Ushayran,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2033",200,400,500,700,900,1100,1200,,,200,200,100,200,200,200,100,,
Maqam Ajam Ushayran,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2033",204,408,498,702,906,1109,1200,,,204,204,91,204,204,204,91,,
Maqam Shawq Afza,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2034",200,400,500,700,800,1100,1200,,,200,200,100,200,100,300,100,,
Maqam Shawq Afza,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2034",204,408,543,702,792,1109,1200,,,204,204,136,158,91,317,91,,
Maqam Shawq Awr A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2035",200,400,600,700,900,1100,1200,,,200,200,200,100,200,200,100,,
Maqam Shawq Awr D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2036",200,400,500,700,900,1000,1200,,,200,200,100,200,200,100,200,,
Maqam Iraq A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2037",150,350,500,650,850,1050,1200,,,150,200,150,150,200,200,150,,
Maqam Iraq A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2037",136,340,475,634,838,1042,1200,,,136,204,136,158,204,204,158,,
Maqam Iraq D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2038",150,350,500,650,850,1050,1150,1200,,150,200,150,150,200,200,100,50,
Maqam Awj Ara,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2039",150,450,500,750,850,1150,1200,,,150,300,50,250,100,300,50,,
Maqam Awj Ara,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2039",136,453,498,747,838,1155,1200,,,136,317,45,249,91,317,45,,
Maqam Rahat Al-arwah A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2040",150,350,450,750,850,1050,1200,,,150,200,100,300,100,200,150,,
Maqam Rahat Al-arwah A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2040",158,362,521,679,770,1087,1177,,,158,204,158,158,91,317,91,,
Maqam Rahat Al-arwah D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2041",150,350,450,750,850,1050,1150,1200,,150,200,100,300,100,200,100,50,
Maqam Farahnak A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2042",150,350,550,700,850,1050,1200,,,150,200,200,150,150,200,150,,
Maqam Farahnak A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2042",136,340,543,702,838,1042,1200,,,136,204,204,158,136,204,158,,
Maqam Farahnak D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2043",150,350,550,700,850,1050,1150,1200,,150,200,200,150,150,200,100,50,
Maqam Rast A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2044",204,362,498,702,906,1064,1200,,,204,158,136,204,204,158,136,,
Maqam Rast D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2045",204,362,498,702,906,996,1200,,,204,158,136,204,204,91,204,,
Maqam Suznak A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2046",200,350,500,700,850,1100,1200,,,200,150,150,200,150,250,100,,
Maqam Suznak A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2046",204,362,498,702,815,1109,1200,,,204,158,136,204,113,294,91,,
Maqam Suznak D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2047",204,294,498,702,838,996,1200,,,204,91,204,204,136,158,204,,
Maqam Nayruz,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2048",200,350,500,700,850,1000,1200,,,200,150,150,200,150,150,200,,
Maqam Nahawand Murassa A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2051",200,300,500,600,900,1000,1200,,,200,100,200,100,300,100,200,,
Maqam Nahawand Murassa A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2051",204,294,498,589,906,996,1200,,,204,91,204,91,317,91,204,,
Maqam Nahawand Murassa D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2052",200,300,500,600,800,1100,1200,,,200,100,200,100,200,300,100,,
Maqam Nahawand Kabir D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2054",200,300,500,700,900,1000,1200,,,200,100,200,200,200,100,200,,
Maqam Nahawand Kabir D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2054",204,294,498,702,906,996,1200,,,204,91,204,204,204,91,204,,
Maqam Nawa'athar A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2055",200,300,600,700,800,1100,1200,,,200,100,300,100,100,300,100,,
Maqam Nawa'athar A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2055",204,294,611,702,792,1109,1200,,,204,91,317,91,91,317,91,,
Maqam Nawa'athar D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2056",204,294,611,702,792,996,1200,,,204,91,317,91,91,204,204,,
Maqam Nakriz A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2057",200,300,600,700,900,1000,1200,,,200,100,300,100,200,100,200,,
Maqam Nakriz A,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2057",204,294,611,702,906,996,1200,,,204,91,317,91,204,91,204,,
Maqam Nakriz D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2058",200,300,600,700,900,1050,1200,,,200,100,300,100,200,150,150,,
Maqam Nakriz D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2058",204,294,611,702,906,1064,1200,,,204,91,317,91,204,158,136,,
Maqam Zankulah,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2059",100,400,500,700,900,1000,1200,,,100,300,100,200,200,100,200,,
Maqam Zankulah,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2059",91,408,498,702,906,996,1200,,,91,317,91,204,204,91,204,,
Maqam Hijaz Kar Kurd D,Arabian,Middle East,,Y,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2061",100,300,500,700,800,1000,1200,,,100,200,200,200,100,200,200,,
